task_id,system,scenario,task_family,failure_type,primary_failtax,failtaxes,failure_step,expected_recovery_path,gold_tool,chosen_tool,state_slots,dependency_edges,success,tool_calls,repair_actions,repair_triggered,user_turns,total_steps,token_cost,wall_clock_ms,observed_error_type,first_failure_recovered,repair_extra_tool_calls,repair_extra_user_turns,repair_user_clarification,clarification_precision,clarification_recall,unnecessary_question_rate,patch_success_rate,post_answer_retry_count,safe_abort,policy_compliance_success,state_repair_success,reuse_pass_index,reused_artifact,second_run_improvement,budget_violation,budget_violation_reason,recovery_budget_used,stop_reason,trace_path
tau2_binding_auto_001__pass1,a3_interaction,binding_failure,t1_static_recovery,binding_failure,selection,"[""selection""]",step_02,,,write_tool,[],[],True,3,1,1,0,2,0.0,0,binding_failure,True,1,0,False,0.0,0.0,0.0,0.0,0,False,False,False,1,False,0.0,False,,1.0,success_criteria_satisfied,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/001_tau2_binding_auto_001__pass1_a3_interaction.json
tau2_binding_auto_001__pass1,a4_reuse,binding_failure,t1_static_recovery,binding_failure,selection,"[""selection""]",step_02,,,write_tool,[],[],True,3,1,1,0,2,0.0,0,binding_failure,True,1,0,False,0.0,0.0,0.0,0.0,0,False,False,False,1,False,0.0,False,,1.0,success_criteria_satisfied,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/001_tau2_binding_auto_001__pass1_a4_reuse.json
tau2_binding_auto_001__pass2,a3_interaction,binding_failure,t1_static_recovery,binding_failure,selection,"[""selection""]",step_02,,,write_tool,[],[],True,3,1,1,0,2,0.0,0,binding_failure,True,1,0,False,0.0,0.0,0.0,0.0,0,False,False,False,2,False,0.0,False,,1.0,success_criteria_satisfied,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/002_tau2_binding_auto_001__pass2_a3_interaction.json
tau2_binding_auto_001__pass2,a4_reuse,binding_failure,t1_static_recovery,binding_failure,selection,"[""recovery""]",step_02,,,write_tool,[],[],True,2,0,0,0,2,0.0,0,binding_failure,False,0,0,False,0.0,0.0,0.0,0.0,0,False,False,False,2,True,1.5,False,,0.0,success_criteria_satisfied,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/002_tau2_binding_auto_001__pass2_a4_reuse.json
tau2_env_backup_001__pass1,a3_interaction,environment_failure,t1_static_recovery,environment_failure,recovery,"[""recovery""]",step_02,,,backup_write_tool,[],[],True,3,1,1,0,2,0.0,0,environment_failure,True,1,0,False,0.0,0.0,0.0,0.0,0,False,False,False,1,False,0.0,False,,1.0,success_criteria_satisfied,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/003_tau2_env_backup_001__pass1_a3_interaction.json
tau2_env_backup_001__pass1,a4_reuse,environment_failure,t1_static_recovery,environment_failure,recovery,"[""recovery""]",step_02,,,backup_write_tool,[],[],True,3,1,1,0,2,0.0,0,environment_failure,True,1,0,False,0.0,0.0,0.0,0.0,0,False,False,False,1,False,0.0,False,,1.0,success_criteria_satisfied,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/003_tau2_env_backup_001__pass1_a4_reuse.json
tau2_env_backup_001__pass2,a3_interaction,environment_failure,t1_static_recovery,environment_failure,recovery,"[""recovery""]",step_02,,,backup_write_tool,[],[],True,3,1,1,0,2,0.0,0,environment_failure,True,1,0,False,0.0,0.0,0.0,0.0,0,False,False,False,2,False,0.0,False,,1.0,success_criteria_satisfied,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/004_tau2_env_backup_001__pass2_a3_interaction.json
tau2_env_backup_001__pass2,a4_reuse,environment_failure,t1_static_recovery,environment_failure,recovery,"[""recovery""]",step_02,,,backup_write_tool,[],[],True,3,1,1,0,2,0.0,0,environment_failure,True,1,0,False,0.0,0.0,0.0,0.0,0,False,False,False,2,True,0.0,False,,1.0,success_criteria_satisfied,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/004_tau2_env_backup_001__pass2_a4_reuse.json
tau2_env_ask_user_001__pass1,a3_interaction,environment_failure,t1_static_recovery,environment_failure,recovery,"[""recovery""]",step_02,,,write_tool,[],[],False,2,0,1,1,2,0.0,0,environment_failure,False,0,1,True,1.0,1.0,0.0,0.0,0,False,False,False,1,False,0.0,True,max_recovery_budget_exceeded,2.0,max_recovery_budget_exceeded,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/005_tau2_env_ask_user_001__pass1_a3_interaction.json
tau2_env_ask_user_001__pass1,a4_reuse,environment_failure,t1_static_recovery,environment_failure,recovery,"[""recovery""]",step_02,,,write_tool,[],[],False,2,0,1,1,2,0.0,0,environment_failure,False,0,1,True,1.0,1.0,0.0,0.0,0,False,False,False,1,True,0.0,True,max_recovery_budget_exceeded,2.0,max_recovery_budget_exceeded,outputs/tau2_formal_reuse_second_run/runs/run_03/traces/005_tau2_env_ask_user_001__pass1_a4_reuse.json
