run_index,task_id,system,scenario,task_family,failure_type,primary_failtax,failtaxes,failure_step,expected_recovery_path,gold_tool,chosen_tool,state_slots,dependency_edges,success,tool_calls,repair_actions,repair_triggered,user_turns,total_steps,token_cost,wall_clock_ms,observed_error_type,first_failure_recovered,repair_extra_tool_calls,repair_extra_user_turns,repair_user_clarification,clarification_precision,clarification_recall,unnecessary_question_rate,patch_success_rate,post_answer_retry_count,reuse_pass_index,reused_artifact,second_run_improvement,budget_violation,budget_violation_reason,recovery_budget_used,stop_reason,trace_path
1,tau2_binding_auto_001,a0_baseline,binding_failure,t1_static_recovery,binding_failure,selection,"[""selection""]",step_02,clarify_then_patch_then_retry,write_tool,,"[""query"", ""target_path""]","[{""source"": ""step_01"", ""target"": ""step_02"", ""type"": ""state""}]",False,2,0,0,0,2,0.0,0,binding_failure,False,0,0,False,0.0,0.0,0.0,0.0,0,0,False,0.0,False,,0.0,step_failed:step_02:missing required field: target_path,outputs/tau2_bench_formal/runs/run_01/traces/001_tau2_binding_auto_001_a0_baseline.json
1,tau2_binding_auto_001,a1_recovery,binding_failure,t1_static_recovery,binding_failure,selection,"[""selection""]",step_02,clarify_then_patch_then_retry,write_tool,write_tool,"[""query"", ""target_path""]","[{""source"": ""step_01"", ""target"": ""step_02"", ""type"": ""state""}]",True,3,1,1,0,2,0.0,0,binding_failure,True,1,0,False,0.0,0.0,0.0,0.0,0,0,False,0.0,False,,1.0,success_criteria_satisfied,outputs/tau2_bench_formal/runs/run_01/traces/001_tau2_binding_auto_001_a1_recovery.json
1,tau2_binding_auto_001,a2_planner,binding_failure,t1_static_recovery,binding_failure,selection,"[""selection""]",step_02,,,write_tool,[],[],True,3,1,1,0,2,0.0,0,binding_failure,True,1,0,False,0.0,0.0,0.0,0.0,0,0,False,0.0,False,,1.0,success_criteria_satisfied,outputs/tau2_bench_formal/runs/run_01/traces/001_tau2_binding_auto_001_a2_planner.json
1,tau2_binding_auto_001,a3_interaction,binding_failure,t1_static_recovery,binding_failure,selection,"[""selection""]",step_02,,,write_tool,[],[],True,3,1,1,0,2,0.0,0,binding_failure,True,1,0,False,0.0,0.0,0.0,0.0,0,0,False,0.0,False,,1.0,success_criteria_satisfied,outputs/tau2_bench_formal/runs/run_01/traces/001_tau2_binding_auto_001_a3_interaction.json
1,tau2_binding_auto_001,a4_reuse,binding_failure,t1_static_recovery,binding_failure,selection,"[""selection""]",step_02,,,write_tool,[],[],True,3,1,1,0,2,0.0,0,binding_failure,True,1,0,False,0.0,0.0,0.0,0.0,0,0,False,0.0,False,,1.0,success_criteria_satisfied,outputs/tau2_bench_formal/runs/run_01/traces/001_tau2_binding_auto_001_a4_reuse.json
1,tau2_env_backup_001,a0_baseline,environment_failure,t1_static_recovery,environment_failure,recovery,"[""recovery""]",step_02,clarify_or_switch_then_retry,write_tool,,"[""query"", ""target_path""]","[{""source"": ""step_01"", ""target"": ""step_02"", ""type"": ""state""}]",False,2,0,0,0,2,0.0,0,environment_failure,False,0,0,False,0.0,0.0,0.0,0.0,0,0,False,0.0,False,,0.0,step_failed:step_02:environment unavailable for write operation,outputs/tau2_bench_formal/runs/run_01/traces/002_tau2_env_backup_001_a0_baseline.json
1,tau2_env_backup_001,a1_recovery,environment_failure,t1_static_recovery,environment_failure,recovery,"[""recovery""]",step_02,clarify_or_switch_then_retry,write_tool,backup_write_tool,"[""query"", ""target_path""]","[{""source"": ""step_01"", ""target"": ""step_02"", ""type"": ""state""}]",True,3,1,1,0,2,0.0,0,environment_failure,True,1,0,False,0.0,0.0,0.0,0.0,0,0,False,0.0,False,,1.0,success_criteria_satisfied,outputs/tau2_bench_formal/runs/run_01/traces/002_tau2_env_backup_001_a1_recovery.json
1,tau2_env_backup_001,a2_planner,environment_failure,t1_static_recovery,environment_failure,recovery,"[""recovery""]",step_02,,,backup_write_tool,[],[],True,3,1,1,0,2,0.0,0,environment_failure,True,1,0,False,0.0,0.0,0.0,0.0,0,0,False,0.0,False,,1.0,success_criteria_satisfied,outputs/tau2_bench_formal/runs/run_01/traces/002_tau2_env_backup_001_a2_planner.json
1,tau2_env_backup_001,a3_interaction,environment_failure,t1_static_recovery,environment_failure,recovery,"[""recovery""]",step_02,,,backup_write_tool,[],[],True,3,1,1,0,2,0.0,0,environment_failure,True,1,0,False,0.0,0.0,0.0,0.0,0,0,False,0.0,False,,1.0,success_criteria_satisfied,outputs/tau2_bench_formal/runs/run_01/traces/002_tau2_env_backup_001_a3_interaction.json
1,tau2_env_backup_001,a4_reuse,environment_failure,t1_static_recovery,environment_failure,recovery,"[""recovery""]",step_02,,,backup_write_tool,[],[],True,3,1,1,0,2,0.0,0,environment_failure,True,1,0,False,0.0,0.0,0.0,0.0,0,0,False,0.0,False,,1.0,success_criteria_satisfied,outputs/tau2_bench_formal/runs/run_01/traces/002_tau2_env_backup_001_a4_reuse.json
